שם נקודה,Y,X
1H,800.00,500.00
2H,567.41,499.96
3H,563.76,552.65
4H,559.23,612.20
5H,651.45,617.91
6H,659.56,594.65
7H,688.74,607.22
8H,747.03,609.83
9H,779.86,611.54
10H,796.75,608.95
1,573.62,518.00
2,565.04,605.76
7,790.21,615.85
8,791.74,525.05
9,602.17,607.43
10,618.16,608.44
11,643.13,609.26
12,671.11,610.51
13,699.09,611.77
14,704.08,611.99
15,732.06,613.24
16,760.34,614.51
17,644.42,520.28
18,761.68,524.04
19,672.71,521.47
20,700.70,522.06
21,728.69,522.86
22,756.68,523.85
23,644.18,536.76
24,643.37,592.76
25,760.58,597.97
26,760.63,595.01
27,760.92,575.51
28,761.26,552.51
30,787.22,541.33
31,787.04,553.33
32,786.71,575.90
33,786.41,595.40
35,672.18,537.65
36,700.17,538.53
37,728.15,539.44
39,756.14,540.34
41,671.85,594.04
42,699.83,595.29
43,704.82,595.51
44,732.80,596.77
46,749.76,586.52
47,750.27,551.16
48,654.52,582.25
49,655.02,548.12
50,786.11,615.67
51,787.47,524.83
52,618.28,568.01
53,604.43,538.55
54,588.71,518.40
55,604.71,519.00
56,644.02,547.71
57,643.53,581.76
58,760.75,587.07
59,761.27,551.54
60,588.73,541.63
61,602.70,571.68
62,643.72,568.26
63,644.04,546.55
64,608.09,545.69
65,616.77,567.43
66,669.66,582.43
67,682.65,583.51
68,695.64,584.09
69,708.64,584.68
70,721.63,585.26
71,734.62,585.84
72,670.16,548.60
73,683.15,549.01
74,696.15,549.43
75,709.14,549.84
76,722.14,550.26
77,735.13,550.67
82,617.06,568.28
83,605.58,538.30
84,618.25,579.26
85,613.49,557.83
86,608.86,547.96
87,604.58,528.15
