שם נקודה,Y,X
1240G,177973.880,650325.370
457M,172641.588,649064.990
425M,180318.688,654953.757
1195K,175211.588,653952.042
1228R,178490.795,651950.395
1229R,178751.018,653124.697
1230R,177958.567,653671.424
1231R,178330.213,653982.664
1232R,178435.159,653552.758
1233R,178762.829,654095.899
1234R,178024.738,652421.063
1205R,178590.514,652891.444
1206R,178742.185,653137.686
1207R,179265.196,654123.993
1208R,179482.545,654454.357
W1,178621.880,652831.420
W2,178667.560,652933.930
W3,178690.850,652867.920
W4,178706.780,652800.560
WF2220,178340.270,653379.230
1G,178621.969,652856.421
2G,178609.959,652837.130
196G,178686.107,652887.504
197G,178673.717,652945.541
198G,178686.348,652887.556
199G,178664.747,652951.041
200G,178610.887,652863.216
201G,178625.315,652854.370
202G,178670.814,652864.203
203G,178598.967,652844.071
204G,178684.669,652789.959
205G,178701.727,652816.975
206G,178694.835,652848.468
2027G,178605.171,652853.897
